result,total_time,photo_test_name,time_cropped,time_predict
"[{'target_node': '58670512_875982496079794_2653712029927342080_n_face_2.jpg', 'results': [{'photoName': '58670512_875982496079794_2653712029927342080_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}]",2.432653,Chi Quyen_58694157_875982369413140_2524073699137552384_n_face_0.jpg,2.432653,0.0
"[{'target_node': '52065952_595714970892992_6193180246255075328_n_face_0.jpg', 'results': [{'photoName': '52065952_595714970892992_6193180246255075328_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '58670512_875982496079794_2653712029927342080_n_face_1.jpg', 'results': [{'photoName': '58670512_875982496079794_2653712029927342080_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}]",3.021526,Chi Quyen_58694157_875982369413140_2524073699137552384_n_face_1.jpg,3.021526,0.0
"[{'target_node': '348448568_3457179291203940_3001385669850955190_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '348462346_1599975467080314_8069228128132654420_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '356397002_629662122559277_293911731726938112_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '358612573_638188355039987_334504307083415394_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '365977950_650853723773450_5063078229328757805_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '371118912_661189002739922_5372062712138945873_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '375875986_668588485333307_2924394594114806286_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '375969158_668588488666640_3633354783934666737_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}]",2.545426,ChiJena_381268196_674936228031866_3303563630878907704_n_face_0.jpg,2.545426,0.0
"[{'target_node': '370518432_3686563951575155_1768129710849050859_n_face_1.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '370565386_3686563938241823_7969307815219713869_n_face_2.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '370565580_3686563968241820_470505662653458081_n_face_2.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '371327397_3686563898241827_3513752213616040720_n_face_2.jpg', 'results': [{'photoName': '370518432_3686563951575155_1768129710849050859_n.jpg'}, {'photoName': '370565386_3686563938241823_7969307815219713869_n.jpg'}, {'photoName': '370565580_3686563968241820_470505662653458081_n.jpg'}, {'photoName': '371327397_3686563898241827_3513752213616040720_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}]",2.687537,DieuHuong_370489056_3686563928241824_8735122856772276629_n_face_0.jpg,2.687537,0.0
"[{'target_node': '358427956_3373370076127671_2302542668434134118_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '370518432_3686563951575155_1768129710849050859_n_face_3.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '370565386_3686563938241823_7969307815219713869_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '370565580_3686563968241820_470505662653458081_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '371327397_3686563898241827_3513752213616040720_n_face_1.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '407141615_3639387889683891_7697099033717682841_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}]",3.028511,DieuHuong_370489056_3686563928241824_8735122856772276629_n_face_1.jpg,3.028511,0.0
"[{'target_node': '370565580_3686563968241820_470505662653458081_n_face_3.jpg', 'results': [{'photoName': '370518432_3686563951575155_1768129710849050859_n.jpg'}, {'photoName': '370565580_3686563968241820_470505662653458081_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '371327397_3686563898241827_3513752213616040720_n_face_4.jpg', 'results': [{'photoName': '371327397_3686563898241827_3513752213616040720_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}]",2.638173,DieuHuong_370489056_3686563928241824_8735122856772276629_n_face_2.jpg,2.638173,0.0
"[{'target_node': '370518432_3686563951575155_1768129710849050859_n_face_4.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 453640)}, {'target_node': '370565580_3686563968241820_470505662653458081_n_face_1.jpg', 'results': [{'photoName': '370565580_3686563968241820_470505662653458081_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '371327397_3686563898241827_3513752213616040720_n_face_0.jpg', 'results': [{'photoName': '370518432_3686563951575155_1768129710849050859_n.jpg'}, {'photoName': '371327397_3686563898241827_3513752213616040720_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}]",3.0114099999999997,DieuHuong_370489056_3686563928241824_8735122856772276629_n_face_3.jpg,3.01041,0.001
"[{'target_node': '358427956_3373370076127671_2302542668434134118_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '370518432_3686563951575155_1768129710849050859_n_face_2.jpg', 'results': [{'photoName': '370518432_3686563951575155_1768129710849050859_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '370565386_3686563938241823_7969307815219713869_n_face_4.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '370565580_3686563968241820_470505662653458081_n_face_5.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '407997752_3639388409683839_7982321710152362091_n_face_13.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}]",2.270255,DieuHuong_370489056_3686563928241824_8735122856772276629_n_face_4.jpg,2.270255,0.0
"[{'target_node': '324893899_2132123837176590_3598786593678318630_n_face_0.jpg', 'results': [], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}, {'target_node': '370518432_3686563951575155_1768129710849050859_n_face_7.jpg', 'results': [{'photoName': '370518432_3686563951575155_1768129710849050859_n.jpg'}], 'start_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640), 'end_time': datetime.datetime(2023, 12, 23, 11, 55, 35, 454640)}]",3.079016,DieuHuong_370489056_3686563928241824_8735122856772276629_n_face_5.jpg,3.079016,0.0
[],2.697233,HanhNguyen_324512849_5772098636242202_7009827643447157859_n_face_0.jpg,2.697233,0.0
[],3.322438,HanhNguyen_324512849_5772098636242202_7009827643447157859_n_face_1.jpg,3.322438,0.0
